Source,Target,value,nb_transactions
483243,417,10390745026,4
Xapo.com,5232,1023350509,1
Xapo.com,39165,2052875009,2
AlphaBayMarket,CoinTrader.net_LocalBitcoins.com,5503952561,93
Genesis-Mining.com,72236394,942045992,1
Bitstamp.net,BtcTrade.com,8475035753,1
3368,HaoBTC.com,31870706,2
BitPay.com,71921412,14580648,1
69250655,BitPay.com,3622507,1
68355556,71554675,1924292636,1
0,6048154,150220735,1
SatoshiMines.com,Xapo.com,5213305,6
Genesis-Mining.com,57,64344302853,62
62939720,73988566,104222337,2
5010,605,8545251030,4
Poloniex.com,YoBit.net,430621190,6
NucleusMarket,HelixMixer,6043037657,36
52184976,PocketDice.io,2162301,1
4010,CoinTrader.net_LocalBitcoins.com,101496855,1
1149,351,11213106,1
ePay.info_CoinJoinMess,18972,84259223623,1
NitrogenSports.eu,50421438,28291902,2
71633826,BTC-e.com,96128138,1
74304428,544,252444250,1
2063784,0,12122012,1
50427066,BitPay.com,14108798,2
2201602,Bittrex.com,377086622,1
70979656,69932357,83374712,2
101,49323432,26127994,4
898,73048083,99980000,1
Huobi.com,368,459644324,5
24333768,CoinTrader.net_LocalBitcoins.com,354976110,1
Xapo.com,24477212,1044122182,1
3370,Bittrex.com,91380000,1
70586820,71735169,193829835,1
71031975,PrimeDice.com,49448463,1
Genesis-Mining.com,1469,63474345,1
Exchanging.ir,PrimeDice.com,2599360249,6
72341585,69356285,593646174,1
SlushPool.com,19298,6085548704,1
1151788,368,134862982,4
71110892,21907,30894894,1
70009917,9799468,1285913098,1
906,Paxful.com,495120790,4
69383128,ePay.info_CoinJoinMess,88150863,1
139,BTC-e.com,1564875916,1
1654888,71555085,335210310,1
Genesis-Mining.com,64652674,63474345,1
Huobi.com,1226,112224483,1
Hashnest.com,CoinTrader.net_LocalBitcoins.com,1118229291,5
45048181,Hashnest.com,97812500,1
Genesis-Mining.com,CoinCafe.com,63474345,1
906,ePay.info_CoinJoinMess,908832107,7
72025056,73021461,142873279,1
71476550,331,67009319,1
73336527,73937528,277356567,1
ePay.info_CoinJoinMess,536,1129696,1
CoinMotion.com,NitrogenSports.eu,14484372,1
Genesis-Mining.com,7184,35975833,1
15278773,BitPay.com,503628619,3
7964604,3203078,18322880,1
71238640,BTC-e.com,956612,1
354,Cex.io,14839150668,14
2990531,170,120856001184,31
Huobi.com,OkLink.com,133676454261,99
70479234,ePay.info_CoinJoinMess,10244999,1
5542742,57,785461871,4
Bitcoin.de,60,6821850110,3
70246061,1017,45343137,1
AlphaBayMarket,70796466,12705108,1
35049846,Cubits.com,2379957818,5
70927603,69670993,92874791,1
Poloniex.com,1598,11704182,1
8199086,70821687,37424431,1
SatoshiDice.com,73989620,22185485,2
59589,421,29999900000,1
2990531,Cryptsy.com,43040439407,9
71816350,MaiCoin.com,485431533,2
72262922,70822385,10998453,1
SlushPool.com,Bittrex.com,5057322904,1
472,ChBtc.com,2737924211,1
Bitcoin.de,351,98127001,1
Bitstamp.net,CloudBet.com,42167590564,1
3368,BtcMarkets.net,15185429,1
72103703,72523357,74926586,1
70927666,CoinTrader.net_LocalBitcoins.com,46629631,1
69906500,CoinTrader.net_LocalBitcoins.com,90960000,1
405610,CoinSpot.com.au,321057255,1
71214980,19412814,22463425,1
73571116,368,6185071,1
1215,BtcTrade.com,4822789268266,293
71895117,0,31998000,1
70979683,15681814,57557714,1
ePay.info_CoinJoinMess,58335538,84259223623,1
4126,25162187,32292653,4
70011208,368,5227221,1
5542047,BTCJam.com,229489810,1
60,12583,4699958393,4
11856668,368,15757979,1
71554939,48668419,68513027,1
69460734,368,9207819,3
1654888,331,31998863,1
71293184,BTC-e.com,88856106,3
Genesis-Mining.com,668819,942045992,1
115921,NitrogenSports.eu,230507020,1
69510767,7,7805224,2
954,421,3199990000,1
BTCJam.com,Luno.com,1527959,1
Genesis-Mining.com,1227,11454796962,6
ePay.info_CoinJoinMess,37810,84259223623,1
131,175,105057000,1
64740,VirWoX.com,30916650,1
72078429,69957895,31462517,1
BitcoinWallet.com,3167,4394200,1
2201602,1252,393205708,1
Genesis-Mining.com,72969555,3157571363,1
56353767,74015503,156687965,1
Genesis-Mining.com,Cryptopay.me,7447611753,6
Cryptonator.com,1598,301640,1
Genesis-Mining.com,6919,942045992,1
1951017,BTC-e.com,151940730,1
5542742,Bittrex.com,88317996,1
2922,Bittrex.com,3677843,1
70482196,Paxful.com,21475647,1
7398,CoinTrader.net_LocalBitcoins.com,337910000,1
Cryptonator.com,227,2100001,1
22972856,69670996,8938003,1
11432272,421,20909700,1
70796631,7,205508904,1
31317920,BitPay.com,4386152,1
227,999Dice.com,2292257,1
2705,73336527,802649252,2
28243748,20042,1204074500,1
2067,CoinTrader.net_LocalBitcoins.com,29999970000,1
405610,Cex.io,2322342119,7
Cryptonator.com,3751,2350001,2
69338,SimpleCoin.cz,480450605,1
72262811,74226354,38442927,1
74066429,Hashnest.com,2324931,1
Vaultoro.com,BitPay.com,1036890,1
AlphaBayMarket,Bitcoin.de,548534407,7
CoinPayments.net,74252306,1361600,1
HaoBTC.com,91531,1802242786,2
456,HelixMixer,743292844,2
73726630,368,3437372,1
Genesis-Mining.com,219804,3157571363,1
0,290,10392171,3
69173924,72629545,78632000,3
1654888,56948,334332706,1
13189145,1747,396110000,2
52666,51870,1196869655,1
31707,0,306717144,3
Bitstamp.net,Luno.com,5456829265,3
144847,Bitcoin.de,30553964,1
1215,CoinTrader.net_LocalBitcoins.com,64200100597,4
Genesis-Mining.com,CoinPayments.net,1253059974,2
69513979,1066863,12965693,1
AlphaBayMarket,Purse.io,8204450,1
Exchanging.ir,12576,2370527366,5
405610,GoCelery.com,321057255,1
CoinPayments.net,69225648,1491585,1
2990531,29111555,10527097175,1
1951017,Luno.com,151940730,1
Genesis-Mining.com,69513856,942045992,1
0,CloudBet.com,2177518,4
405610,289,9300434053,25
61843524,Paxful.com,68122923,2
70796482,368,30613265,1
Genesis-Mining.com,122,10337224074,10
405610,CoinTrader.net_LocalBitcoins.com,4452217732,12
864,7073000,573479419,4
70164515,7,488077,1
942,7491050,1505613,1
71554675,51767,2499970000,1
45298568,73543631,2251359,1
60,Poloniex.com,2709040730,3
SimpleCoin.cz,Kraken.com,2533225152,2
396,FortuneJack.com,2901037678,1
351,536,4166979,2
MoonBit.co.in,289,465743460,1
24774,454,80480,1
5542742,Paxful.com,114859551,1
405610,71790150,395998589,1
OrderBook.net,351,338985031,1
69880033,CoinTrader.net_LocalBitcoins.com,179225082,1
MoonBit.co.in,0,1840239294,4
405610,FoxBit.com.br,717055844,2
74330176,BTC-e.com,22852891,1
Huobi.com,Paxful.com,2031770654,2
Xapo.com,72104795,1049082574,1
1116,Kraken.com,101197580,1
69906420,69618346,23108425,1
70796631,655,126038927,1
74330176,1103,12547058,1
ChBtc.com,25600,40003000338,3
70796452,FaucetBOX.com,38777385,9
Xapo.com,5683,1026985764,1
5155233,Kraken.com,1683702645,2
126,12067426,798004826,1
5542742,1103087,465926328,1
72550775,61,33450000,1
8482969,ePay.info_CoinJoinMess,381123503,1
622667,641,5462828,1
Cryptonator.com,855,1180004,1
73466970,0,7724259,2
BitBargain.co.uk,71476889,1259900000,1
1654888,66122,459375790,2
809,HaoBTC.com,4240320614,1
2656200,Hashnest.com,9025420,1
405610,61406199,321057255,1
1215,MaiCoin.com,552951993946,33
396,HaoBTC.com,14018916272,5
405610,855,717055844,2
72524814,7,2780824404,106
5010,Huobi.com,3423735,1
70586820,70429108,96830562,1
871,4010,250817000,1
70141246,7,25210000,10
