,year,month,day,total_fee,total_received_satoshi,total_sent_satoshi,mean_fee_satoshi,mean_feeUSD,mean_fee_for100,nb_transactions,nb_payments,mean_nb_inputs,mean_nb_outputs,nb_mining,total_mining_satoshi,newly_created_coins,self_spent_satoshi,total_received,volume_without_self
2015-01-01,2015,1,1,801373971,45473028339385,45058028339385,13609.829336639381,4284053.806760756,0.7999990820143408,58882,161194,2.595241330117863,2.737576848612479,166,415801373971,415000000000,2757774885900,45473028339385,42715253453485
2015-01-02,2015,1,2,1159934218,73370568521080,72955568521080,14978.682808404033,4732405.832049272,0.7789330720756649,77439,257633,2.715556760805279,3.326915378556025,166,416159934218,415000000000,4316724676318,73370568521080,69053843844762
2015-01-03,2015,1,3,1196476043,82635189454578,82220189454578,14304.385765864856,4086009.195090849,0.7974194763452038,83644,295618,2.7818851322270577,3.534240351967864,166,416196476043,415000000000,5584584356557,82635189454578,77050605098021
2015-01-04,2015,1,4,2159195328,115159442449532,114726942449532,25138.199015053615,6619756.730330235,0.8990539641075056,85893,280288,2.770132606848055,3.2632228470306077,173,434659195328,432500000000,6554587956125,115159442449532,108604854493407
2015-01-05,2015,1,5,1608443040,112439228285641,112051728285641,16955.609622398853,4662857.901621036,0.8985944736612653,94862,286552,2.954470704813308,3.020724842402648,155,389108443040,387500000000,5063695492444,112439228285641,107375532793197
2015-01-06,2015,1,6,1296373032,118260758863552,117868258863552,14667.176159120223,4217539.5941849705,0.7413853752640269,88386,252571,2.869594732197407,2.8575905686420926,157,393796373032,392500000000,4026430543611,118260758863552,114234328319941
2015-01-07,2015,1,7,1307962748,124387823004904,124030323004904,14264.586696912524,4244221.689931542,0.6650231395285485,91693,246623,2.6866500169042347,2.6896600612914834,143,358807962748,357500000000,6414996545605,124387823004904,117972826459299
2015-01-08,2015,1,8,1535684256,145126114507155,144768614507155,14762.078420440454,4197484.445496981,0.7705750457265594,104029,291711,2.6711397783310424,2.804131540243586,143,359035684256,357500000000,5484939857460,145126114507155,139641174649695
2015-01-09,2015,1,9,1562263214,122351163419729,121993663419729,15268.852820156962,4466156.627852005,0.7549723997325142,102317,306969,2.7423204355092508,3.0001759238445223,143,359062263214,357500000000,3433889725446,122351163419729,118917273694283
2015-01-10,2015,1,10,1560883410,100250789718006,99878289718006,14557.49202589021,4021223.6776596503,0.8083229585491132,107222,380877,2.6109287273134245,3.552228087519352,149,374060883410,372500000000,8908918486853,100250789718006,91341871231153
